24.93, 37.56,4.41
24.93, 37.56,4.41
25.23, 37.32,4.42
25.23, 37.32,4.42
25.23, 37.32,4.42
25.23, 37.32,4.42
25.55, 37.08,4.42
25.55, 37.08,4.42
25.55, 37.08,4.42
25.55, 37.08,4.42
25.85, 36.83,4.43
25.85, 36.83,4.43
25.85, 36.83,4.43
25.85, 36.83,4.43
26.13, 36.6,4.43
26.13, 36.6,4.43
26.13, 36.6,4.43
26.13, 36.6,4.43
26.38, 36.38,4.43
26.38, 36.38,4.43
26.38, 36.38,4.43
26.38, 36.38,4.43
26.62, 36.16,4.44
26.62, 36.16,4.44
26.62, 36.16,4.44
26.62, 36.16,4.44
26.85, 35.94,4.44
26.85, 35.94,4.44
26.85, 35.94,4.44
26.85, 35.94,4.44
27.07, 35.73,4.44
27.07, 35.73,4.44
27.07, 35.73,4.44
27.07, 35.73,4.44
27.29, 35.51,4.45
27.29, 35.51,4.45
27.29, 35.51,4.45
27.29, 35.51,4.45
27.5, 35.28,4.45
27.5, 35.28,4.45
27.5, 35.28,4.45
27.5, 35.28,4.45
27.72, 35.04,4.45
27.72, 35.04,4.45
27.72, 35.04,4.45
27.72, 35.04,4.45
27.95, 34.79,4.46
27.95, 34.79,4.46
27.95, 34.79,4.46
27.95, 34.79,4.46
28.17, 34.54,4.46
28.17, 34.54,4.46
28.17, 34.54,4.46
28.17, 34.54,4.46
28.39, 34.29,4.46
28.39, 34.29,4.46
28.39, 34.29,4.46
28.39, 34.29,4.46
28.61, 34.05,4.47
28.61, 34.05,4.47
28.61, 34.05,4.47
28.61, 34.05,4.47
28.81, 33.81,4.47
28.81, 33.81,4.47
28.81, 33.81,4.47
28.81, 33.81,4.47
29.01, 33.58,4.47
29.01, 33.58,4.47
29.01, 33.58,4.47
29.01, 33.58,4.47
29.18, 33.38,4.47
29.18, 33.38,4.47
29.18, 33.38,4.47
29.18, 33.38,4.47
29.34, 33.19,4.47
29.34, 33.19,4.47
29.34, 33.19,4.47
29.34, 33.19,4.47
29.48, 33.03,4.48
29.48, 33.03,4.48
29.48, 33.03,4.48
29.48, 33.03,4.48
29.59, 32.89,4.48
29.59, 32.89,4.48
29.59, 32.89,4.48
29.59, 32.89,4.48
29.67, 32.79,4.48
29.67, 32.79,4.48
29.67, 32.79,4.48
29.67, 32.79,4.48
29.72, 32.73,4.48
29.72, 32.73,4.48
29.72, 32.73,4.48
29.72, 32.73,4.48
29.74, 32.71,4.48
29.74, 32.71,4.48
29.74, 32.71,4.48
29.74, 32.71,4.48
29.7, 32.76,4.49
29.7, 32.76,4.49
29.7, 32.76,4.49
29.7, 32.76,4.49
29.59, 32.89,4.49
29.59, 32.89,4.49
29.59, 32.89,4.49
29.59, 32.89,4.49
29.43, 33.09,4.49
29.43, 33.09,4.49
29.43, 33.09,4.49
29.43, 33.09,4.49
29.23, 33.34,4.49
29.23, 33.34,4.49
29.23, 33.34,4.49
29.23, 33.34,4.49
29.01, 33.62,4.49
29.01, 33.62,4.49
29.01, 33.62,4.49
29.01, 33.62,4.49
28.78, 33.9,4.49
28.78, 33.9,4.49
28.78, 33.9,4.49
28.78, 33.9,4.49
28.56, 34.18,4.49
28.56, 34.18,4.49
28.56, 34.18,4.49
28.56, 34.18,4.49
28.36, 34.42,4.49
28.36, 34.42,4.49
28.36, 34.42,4.49
28.36, 34.42,4.49
28.2, 34.62,4.5
28.2, 34.62,4.5
28.2, 34.62,4.5
28.2, 34.62,4.5
28.09, 34.76,4.5
28.09, 34.76,4.5
28.09, 34.76,4.5
28.09, 34.76,4.5
28.05, 34.81,4.5
28.05, 34.81,4.5
28.05, 34.81,4.5
28.05, 34.81,4.5
28.18, 34.65,4.5
28.18, 34.65,4.5
28.18, 34.65,4.5
28.18, 34.65,4.5
28.52, 34.22,4.5
28.52, 34.22,4.5
28.52, 34.22,4.5
28.52, 34.22,4.5
29.02, 33.59,4.5
29.02, 33.59,4.5
29.02, 33.59,4.5
29.02, 33.59,4.5
29.62, 32.83,4.5
29.62, 32.83,4.5
29.62, 32.83,4.5
29.62, 32.83,4.5
30.28, 32.0,4.5
30.28, 32.0,4.5
30.28, 32.0,4.5
30.28, 32.0,4.5
30.95, 31.17,4.5
30.95, 31.17,4.5
30.95, 31.17,4.5
30.95, 31.17,4.5
31.55, 30.4,4.5
31.55, 30.4,4.5
31.55, 30.4,4.5
31.55, 30.4,4.5
32.05, 29.77,4.5
32.05, 29.77,4.5
32.05, 29.77,4.5
32.05, 29.77,4.5
32.39, 29.35,4.5
32.39, 29.35,4.5
32.39, 29.35,4.5
32.39, 29.35,4.5
32.52, 29.19,4.5
32.52, 29.19,4.5
32.52, 29.19,4.5
32.52, 29.19,4.5
32.49, 29.22,4.5
32.49, 29.22,4.5
32.49, 29.22,4.5
32.49, 29.22,4.5
32.41, 29.31,4.5
32.41, 29.31,4.5
32.41, 29.31,4.5
32.41, 29.31,4.5
32.29, 29.45,4.5
32.29, 29.45,4.5
32.29, 29.45,4.5
32.29, 29.45,4.5
32.16, 29.61,4.5
32.16, 29.61,4.5
32.16, 29.61,4.5
32.16, 29.61,4.5
32.01, 29.78,4.5
32.01, 29.78,4.5
32.01, 29.78,4.5
32.01, 29.78,4.5
31.87, 29.93,4.5
31.87, 29.93,4.5
31.87, 29.93,4.5
31.87, 29.93,4.5
31.76, 30.07,4.5
31.76, 30.07,4.5
31.76, 30.07,4.5
31.76, 30.07,4.5
31.68, 30.16,4.5
31.68, 30.16,4.5
31.68, 30.16,4.5
31.68, 30.16,4.5
31.65, 30.2,4.5
31.65, 30.2,4.5
31.65, 30.2,4.5
31.65, 30.2,4.5
31.74, 30.08,4.5
31.74, 30.08,4.5
31.74, 30.08,4.5
31.74, 30.08,4.5
31.96, 29.81,4.5
31.96, 29.81,4.5
31.96, 29.81,4.5
31.96, 29.81,4.5
32.22, 29.49,4.5
32.22, 29.49,4.5
32.22, 29.49,4.5
32.22, 29.49,4.5
32.43, 29.23,4.5
32.43, 29.23,4.5
32.43, 29.23,4.5
32.43, 29.23,4.5
32.53, 29.11,4.5
32.53, 29.11,4.5
32.53, 29.11,4.5
32.53, 29.11,4.5
32.46, 29.18,4.5
32.46, 29.18,4.5
32.46, 29.18,4.5
32.46, 29.18,4.5
32.29, 29.35,4.5
32.29, 29.35,4.5
32.29, 29.35,4.5
32.29, 29.35,4.5
32.01, 29.64,4.5
32.01, 29.64,4.5
32.01, 29.64,4.5
32.01, 29.64,4.5
31.64, 30.02,4.5
31.64, 30.02,4.5
31.64, 30.02,4.5
31.64, 30.02,4.5
31.19, 30.49,4.5
31.19, 30.49,4.5
31.19, 30.49,4.5
31.19, 30.49,4.5
30.68, 31.03,4.5
30.68, 31.03,4.5
30.68, 31.03,4.5
30.68, 31.03,4.5
30.11, 31.63,4.5
30.11, 31.63,4.5
30.11, 31.63,4.5
30.11, 31.63,4.5
29.5, 32.29,4.49
29.5, 32.29,4.49
29.5, 32.29,4.49
29.5, 32.29,4.49
28.86, 32.99,4.48
28.86, 32.99,4.48
28.86, 32.99,4.48
28.86, 32.99,4.48
28.2, 33.72,4.47
28.2, 33.72,4.47
28.2, 33.72,4.47
28.2, 33.72,4.47
27.53, 34.47,4.46
27.53, 34.47,4.46
27.53, 34.47,4.46
27.53, 34.47,4.46
26.87, 35.24,4.44
26.87, 35.24,4.44
26.87, 35.24,4.44
26.87, 35.24,4.44
26.23, 36.01,4.42
26.23, 36.01,4.42
26.23, 36.01,4.42
26.23, 36.01,4.42
25.61, 36.76,4.39
25.61, 36.76,4.39
25.61, 36.76,4.39
25.61, 36.76,4.39
25.04, 37.5,4.36
25.04, 37.5,4.36
25.04, 37.5,4.36
25.04, 37.5,4.36
24.52, 38.2,4.32
24.52, 38.2,4.32
24.52, 38.2,4.32
24.52, 38.2,4.32
24.06, 38.86,4.28
24.06, 38.86,4.28
24.06, 38.86,4.28
24.06, 38.86,4.28
23.69, 39.47,4.23
23.69, 39.47,4.23
23.69, 39.47,4.23
23.69, 39.47,4.23
23.4, 40.02,4.18
23.4, 40.02,4.18
23.4, 40.02,4.18
23.4, 40.02,4.18
23.2, 40.5,4.11
23.2, 40.5,4.11
23.2, 40.5,4.11
23.2, 40.5,4.11
23.04, 40.93,4.05
23.04, 40.93,4.05
23.04, 40.93,4.05
23.04, 40.93,4.05
22.84, 41.33,3.97
22.84, 41.33,3.97
22.84, 41.33,3.97
22.84, 41.33,3.97
22.55, 41.74,3.88
22.55, 41.74,3.88
22.55, 41.74,3.88
22.55, 41.74,3.88
22.09, 42.17,3.79
22.09, 42.17,3.79
22.09, 42.17,3.79
22.09, 42.17,3.79
21.41, 42.64,3.69
21.41, 42.64,3.69
21.41, 42.64,3.69
21.41, 42.64,3.69
20.43, 43.19,3.58
20.43, 43.19,3.58
20.43, 43.19,3.58
20.43, 43.19,3.58
19.09, 43.84,3.46
19.09, 43.84,3.46
19.09, 43.84,3.46
19.09, 43.84,3.46
17.32, 44.61,3.23
17.32, 44.61,3.23
17.32, 44.61,3.23
17.32, 44.61,3.23
15.08, 45.51,3.1
15.08, 45.51,3.1
15.08, 45.51,3.1
15.08, 45.51,3.1
12.44, 46.46,3.05
12.44, 46.46,3.05
12.44, 46.46,3.05
12.44, 46.46,3.05
9.5, 47.36,3.03
9.5, 47.36,3.03
9.5, 47.36,3.03
9.5, 47.36,3.03
6.34, 48.13,2.96
6.34, 48.13,2.96
6.34, 48.13,2.96
6.34, 48.13,2.96
3.07, 48.66,2.86
3.07, 48.66,2.86
3.07, 48.66,2.86
3.07, 48.66,2.86
-0.23, 48.85,2.71
-0.23, 48.85,2.71
-0.23, 48.85,2.71
-0.23, 48.85,2.71
-3.49, 48.81,2.54
-3.49, 48.81,2.54
-3.49, 48.81,2.54
-3.49, 48.81,2.54
-6.81, 48.56,2.35
-6.81, 48.56,2.35
-6.81, 48.56,2.35
-6.81, 48.56,2.35
-10.29, 47.91,2.14
-10.29, 47.91,2.14
-10.29, 47.91,2.14
-10.29, 47.91,2.14
-14.06, 46.67,1.93
-14.06, 46.67,1.93
-14.06, 46.67,1.93
-14.06, 46.67,1.93
-18.23, 44.65,1.72
-18.23, 44.65,1.72
-18.23, 44.65,1.72
-18.23, 44.65,1.72
-22.78, 41.77,1.53
-22.78, 41.77,1.53
-22.78, 41.77,1.53
-22.78, 41.77,1.53
-27.14, 38.42,1.35
-27.14, 38.42,1.35
-27.14, 38.42,1.35
-27.14, 38.42,1.35
-30.74, 35.02,1.19
-30.74, 35.02,1.19
-30.74, 35.02,1.19
-30.74, 35.02,1.19
-33.54, 31.68,1.08
-33.54, 31.68,1.08
-33.54, 31.68,1.08
-33.54, 31.68,1.08
-35.65, 28.42,1.0
-35.65, 28.42,1.0
-35.65, 28.42,1.0
-35.65, 28.42,1.0
-37.15, 25.3,0.95
-37.15, 25.3,0.95
-37.15, 25.3,0.95
-37.15, 25.3,0.95
-38.15, 22.34,0.9
-38.15, 22.34,0.9
-38.15, 22.34,0.9
-38.15, 22.34,0.9
-38.75, 19.58,0.85
-38.75, 19.58,0.85
-38.75, 19.58,0.85
-38.75, 19.58,0.85
-39.12, 17.06,0.81
-39.12, 17.06,0.81
-39.12, 17.06,0.81
-39.12, 17.06,0.81
-39.39, 14.82,0.77
-39.39, 14.82,0.77
-39.39, 14.82,0.77
-39.39, 14.82,0.77
-39.57, 12.89,0.73
-39.57, 12.89,0.73
-39.57, 12.89,0.73
-39.57, 12.89,0.73
-39.68, 11.32,0.69
-39.68, 11.32,0.69
-39.68, 11.32,0.69
-39.68, 11.32,0.69
-39.73, 10.14,0.66
-39.73, 10.14,0.66
-39.73, 10.14,0.66
-39.73, 10.14,0.66
-39.76, 9.41,0.63
-39.76, 9.41,0.63
-39.76, 9.41,0.63
-39.76, 9.41,0.63
-39.76, 9.16,0.6
-39.76, 9.16,0.6
-39.76, 9.16,0.6
-39.76, 9.16,0.6
-39.74, 9.58,0.57
-39.74, 9.58,0.57
-39.74, 9.58,0.57
-39.74, 9.58,0.57
-39.69, 10.5,0.54
-39.69, 10.5,0.54
-39.69, 10.5,0.54
-39.69, 10.5,0.54
-39.63, 11.43,0.52
-39.63, 11.43,0.52
-39.63, 11.43,0.52
-39.63, 11.43,0.52
-39.59, 11.85,0.49
-39.59, 11.85,0.49
-39.59, 11.85,0.49
-39.59, 11.85,0.49
-39.57, 11.83,0.47
-39.57, 11.83,0.47
-39.57, 11.83,0.47
-39.57, 11.83,0.47
-39.55, 11.78,0.45
-39.55, 11.78,0.45
-39.55, 11.78,0.45
-39.55, 11.78,0.45
-39.53, 11.7,0.44
-39.53, 11.7,0.44
-39.53, 11.7,0.44
-39.53, 11.7,0.44
-39.52, 11.59,0.42
-39.52, 11.59,0.42
-39.52, 11.59,0.42
-39.52, 11.59,0.42
-39.51, 11.45,0.41
-39.51, 11.45,0.41
-39.51, 11.45,0.41
-39.51, 11.45,0.41
-39.5, 11.29,0.39
-39.5, 11.29,0.39
-39.5, 11.29,0.39
-39.5, 11.29,0.39
-39.5, 11.1,0.38
-39.5, 11.1,0.38
-39.5, 11.1,0.38
-39.5, 11.1,0.38
-39.5, 10.9,0.37
-39.5, 10.9,0.37
-39.5, 10.9,0.37
-39.5, 10.9,0.37
-39.5, 10.67,0.36
-39.5, 10.67,0.36
-39.5, 10.67,0.36
-39.5, 10.67,0.36
-39.5, 10.43,0.35
-39.5, 10.43,0.35
-39.5, 10.43,0.35
-39.5, 10.43,0.35
-39.5, 10.18,0.35
-39.5, 10.18,0.35
-39.5, 10.18,0.35
-39.5, 10.18,0.35
-39.5, 9.91,0.34
-39.5, 9.91,0.34
-39.5, 9.91,0.34
-39.5, 9.91,0.34
-39.5, 9.63,0.33
-39.5, 9.63,0.33
-39.5, 9.63,0.33
-39.5, 9.63,0.33
-39.49, 9.34,0.33
-39.49, 9.34,0.33
-39.49, 9.34,0.33
-39.49, 9.34,0.33
-39.49, 9.05,0.32
-39.49, 9.05,0.32
-39.49, 9.05,0.32
-39.49, 9.05,0.32
-39.48, 8.75,0.32
-39.48, 8.75,0.32
-39.48, 8.75,0.32
-39.48, 8.75,0.32
-39.48, 8.45,0.32
-39.48, 8.45,0.32
-39.48, 8.45,0.32
-39.48, 8.45,0.32
-39.46, 8.15,0.32
-39.46, 8.15,0.32
-39.46, 8.15,0.32
-39.46, 8.15,0.32
-39.45, 7.85,0.32
-39.45, 7.85,0.32
-39.45, 7.85,0.32
-39.45, 7.85,0.32
-39.43, 7.56,0.31
-39.43, 7.56,0.31
-39.43, 7.56,0.31
-39.43, 7.56,0.31
-39.4, 7.27,0.31
-39.4, 7.27,0.31
-39.4, 7.27,0.31
-39.4, 7.27,0.31
-39.38, 6.99,0.31
-39.38, 6.99,0.31
-39.38, 6.99,0.31
-39.38, 6.99,0.31
-39.34, 6.72,0.31
-39.34, 6.72,0.31
-39.34, 6.72,0.31
-39.34, 6.72,0.31
-40.25, 13.68,1.22
-40.25, 13.68,1.22
-40.25, 13.68,1.22
-40.25, 13.68,1.22
-39.95, 16.41,1.37
-39.95, 16.41,1.37
-39.95, 16.41,1.37
-39.95, 16.41,1.37
-39.0, 21.54,1.84
-39.0, 21.54,1.84
-39.0, 21.54,1.84
-39.0, 21.54,1.84
-27.95, 37.91,2.75
-27.95, 37.91,2.75
-27.95, 37.91,2.75
-27.95, 37.91,2.75
-10.12, 46.39,3.42
-10.12, 46.39,3.42
-10.12, 46.39,3.42
-10.12, 46.39,3.42
3.54, 47.05,3.75
3.54, 47.05,3.75
3.54, 47.05,3.75
3.54, 47.05,3.75
17.24, 42.88,4.08
17.24, 42.88,4.08
17.24, 42.88,4.08
17.24, 42.88,4.08
24.1, 38.27,4.27
24.1, 38.27,4.27
24.1, 38.27,4.27
24.1, 38.27,4.27
24.3, 38.07,4.35
24.3, 38.07,4.35
24.3, 38.07,4.35
24.3, 38.07,4.35
28.81, 33.81,4.47
28.81, 33.81,4.47
28.81, 33.81,4.47
28.81, 33.81,4.47
31.76, 30.07,4.5
31.76, 30.07,4.5
31.76, 30.07,4.5
31.76, 30.07,4.5
32.01, 29.64,4.5
32.01, 29.64,4.5
32.01, 29.64,4.5
32.01, 29.64,4.5
28.2, 33.72,4.47
28.2, 33.72,4.47
28.2, 33.72,4.47
28.2, 33.72,4.47
21.41, 42.64,3.69
21.41, 42.64,3.69
21.41, 42.64,3.69
21.41, 42.64,3.69
-10.29, 47.91,2.14
-10.29, 47.91,2.14
-10.29, 47.91,2.14
-10.29, 47.91,2.14
-35.65, 28.42,1.0
-35.65, 28.42,1.0
-35.65, 28.42,1.0
-35.65, 28.42,1.0
-39.73, 10.14,0.66
-39.73, 10.14,0.66
-39.73, 10.14,0.66
-39.73, 10.14,0.66
-39.5, 9.91,0.34
-39.5, 9.91,0.34
-39.5, 9.91,0.34
-39.5, 9.91,0.34
-39.3, 6.45,0.31
-39.3, 6.45,0.31
-39.3, 6.45,0.31
-39.3, 6.45,0.31
-39.26, 6.2,0.31
-39.26, 6.2,0.31
-39.26, 6.2,0.31
-39.26, 6.2,0.31
-39.4, 7.27,0.31
-39.4, 7.27,0.31
-39.4, 7.27,0.31
-39.4, 7.27,0.31
-39.55, 11.78,0.45
-39.55, 11.78,0.45
-39.55, 11.78,0.45
-39.55, 11.78,0.45
22.84, 41.33,3.97
22.84, 41.33,3.97
22.84, 41.33,3.97
22.84, 41.33,3.97
29.02, 33.59,4.5
29.02, 33.59,4.5
29.02, 33.59,4.5
29.02, 33.59,4.5
26.13, 36.6,4.43
26.13, 36.6,4.43
26.13, 36.6,4.43
26.13, 36.6,4.43
21.72, 40.04,4.21
21.72, 40.04,4.21
21.72, 40.04,4.21
21.72, 40.04,4.21
14.7, 44.11,4.0
14.7, 44.11,4.0
14.7, 44.11,4.0
14.7, 44.11,4.0
4.46, 47.03,3.77
4.46, 47.03,3.77
4.46, 47.03,3.77
4.46, 47.03,3.77
-10.12, 46.39,3.42
-10.12, 46.39,3.42
-10.12, 46.39,3.42
-10.12, 46.39,3.42
-26.53, 39.08,2.84
-26.53, 39.08,2.84
-26.53, 39.08,2.84
-26.53, 39.08,2.84
-34.27, 30.04,2.33
-34.27, 30.04,2.33
-34.27, 30.04,2.33
-34.27, 30.04,2.33
-39.0, 21.54,1.84
-39.0, 21.54,1.84
-39.0, 21.54,1.84
-39.0, 21.54,1.84
-40.05, 15.76,1.33
-40.05, 15.76,1.33
-40.05, 15.76,1.33
-40.05, 15.76,1.33
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.42, -2.73,0.46
-37.42, -2.73,0.46
-37.42, -2.73,0.46
-37.42, -2.73,0.46
-37.38, -2.79,0.43
-37.38, -2.79,0.43
-37.38, -2.79,0.43
-37.38, -2.79,0.43
-37.26, -2.95,0.26
-37.26, -2.95,0.26
-37.26, -2.95,0.26
-37.26, -2.95,0.26
-37.24, -2.96,0.15
-37.24, -2.96,0.15
-37.24, -2.96,0.15
-37.24, -2.96,0.15
-37.35, -2.83,0.4
-37.35, -2.83,0.4
-37.35, -2.83,0.4
-37.35, -2.83,0.4
-37.83, -2.19,0.66
-37.83, -2.19,0.66
-37.83, -2.19,0.66
-37.83, -2.19,0.66
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-40.18, 7.96,1.0
-40.18, 7.96,1.0
-40.18, 7.96,1.0
-40.18, 7.96,1.0
-40.25, 10.48,1.07
-40.25, 10.48,1.07
-40.25, 10.48,1.07
-40.25, 10.48,1.07
-40.22, 9.35,1.03
-40.22, 9.35,1.03
-40.22, 9.35,1.03
-40.22, 9.35,1.03
-40.18, 7.96,1.0
-40.18, 7.96,1.0
-40.18, 7.96,1.0
-40.18, 7.96,1.0
-40.12, 6.25,0.96
-40.12, 6.25,0.96
-40.12, 6.25,0.96
-40.12, 6.25,0.96
-40.04, 4.15,0.93
-40.04, 4.15,0.93
-40.04, 4.15,0.93
-40.04, 4.15,0.93
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-38.92, -0.34,0.86
-38.92, -0.34,0.86
-38.92, -0.34,0.86
-38.92, -0.34,0.86
-38.92, -0.34,0.86
-38.92, -0.34,0.86
-38.92, -0.34,0.86
-38.92, -0.34,0.86
-39.34, 6.72,0.31
-39.34, 6.72,0.31
-39.34, 6.72,0.31
-39.34, 6.72,0.31
-38.92, -0.34,0.86
-38.92, -0.34,0.86
-38.92, -0.34,0.86
-38.92, -0.34,0.86
-38.92, -0.34,0.86
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-40.27, 12.96,1.18
-40.27, 12.96,1.18
-40.27, 12.96,1.18
-40.27, 12.96,1.18
-40.27, 12.96,1.18
-39.54, 18.67,1.52
-39.54, 18.67,1.52
-39.54, 18.67,1.52
-39.54, 18.67,1.52
-39.54, 18.67,1.52
-39.33, 19.9,1.64
-39.33, 19.9,1.64
-39.33, 19.9,1.64
-39.33, 19.9,1.64
-39.33, 19.9,1.64
-39.28, 20.24,1.68
-39.28, 20.24,1.68
-39.28, 20.24,1.68
-39.28, 20.24,1.68
-39.28, 20.24,1.68
-39.33, 19.9,1.64
-39.33, 19.9,1.64
-39.33, 19.9,1.64
-39.33, 19.9,1.64
-39.33, 19.9,1.64
-39.74, 17.61,1.45
-39.74, 17.61,1.45
-39.74, 17.61,1.45
-39.74, 17.61,1.45
-39.74, 17.61,1.45
-40.25, 10.48,1.07
-40.25, 10.48,1.07
-40.25, 10.48,1.07
-40.25, 10.48,1.07
-40.25, 10.48,1.07
-40.04, 4.15,0.93
-40.04, 4.15,0.93
-40.04, 4.15,0.93
-40.04, 4.15,0.93
-40.04, 4.15,0.93
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-38.31, -1.54,0.79
-38.31, -1.54,0.79
-38.31, -1.54,0.79
-38.31, -1.54,0.79
-38.31, -1.54,0.79
-38.17, -1.73,0.76
-38.17, -1.73,0.76
-38.17, -1.73,0.76
-38.17, -1.73,0.76
-38.17, -1.73,0.76
-37.93, -2.05,0.69
-37.93, -2.05,0.69
-37.93, -2.05,0.69
-37.93, -2.05,0.69
-37.93, -2.05,0.69
-37.83, -2.19,0.66
-37.83, -2.19,0.66
-37.83, -2.19,0.66
-37.83, -2.19,0.66
-37.83, -2.19,0.66
-37.66, -2.42,0.59
-37.66, -2.42,0.59
-37.66, -2.42,0.59
-37.66, -2.42,0.59
-37.66, -2.42,0.59
-37.52, -2.6,0.53
-37.52, -2.6,0.53
-37.52, -2.6,0.53
-37.52, -2.6,0.53
-37.52, -2.6,0.53
-37.66, -2.42,0.59
-37.66, -2.42,0.59
-37.66, -2.42,0.59
-37.66, -2.42,0.59
-37.66, -2.42,0.59
-38.04, -1.9,0.72
-38.04, -1.9,0.72
-38.04, -1.9,0.72
-38.04, -1.9,0.72
-38.04, -1.9,0.72
-38.46, -1.34,0.82
-38.46, -1.34,0.82
-38.46, -1.34,0.82
-38.46, -1.34,0.82
-38.46, -1.34,0.82
-38.31, -1.54,0.79
-38.31, -1.54,0.79
-38.31, -1.54,0.79
-38.31, -1.54,0.79
-38.31, -1.54,0.79
-38.04, -1.9,0.72
-38.04, -1.9,0.72
-38.04, -1.9,0.72
-38.04, -1.9,0.72
-38.04, -1.9,0.72
-37.93, -2.05,0.69
-37.93, -2.05,0.69
-37.93, -2.05,0.69
-37.93, -2.05,0.69
-37.93, -2.05,0.69
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.58, -2.51,0.56
-37.93, -2.05,0.69
-37.93, -2.05,0.69
-37.93, -2.05,0.69
-37.93, -2.05,0.69
-37.93, -2.05,0.69
-37.93, -2.05,0.69
-38.04, -1.9,0.72
-38.04, -1.9,0.72
-38.04, -1.9,0.72
-38.04, -1.9,0.72
-38.04, -1.9,0.72
-38.04, -1.9,0.72
-38.17, -1.73,0.76
-38.17, -1.73,0.76
-38.17, -1.73,0.76
-38.17, -1.73,0.76
-38.17, -1.73,0.76
-38.17, -1.73,0.76
-38.31, -1.54,0.79
-38.31, -1.54,0.79
-38.31, -1.54,0.79
-38.31, -1.54,0.79
-38.31, -1.54,0.79
-38.31, -1.54,0.79
-38.46, -1.34,0.82
-38.46, -1.34,0.82
-38.46, -1.34,0.82
-38.46, -1.34,0.82
-38.46, -1.34,0.82
-38.46, -1.34,0.82
-38.92, -0.34,0.86
-38.92, -0.34,0.86
-38.92, -0.34,0.86
-38.92, -0.34,0.86
-38.92, -0.34,0.86
-38.92, -0.34,0.86
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-39.62, 1.75,0.89
-40.04, 4.15,0.93
-40.04, 4.15,0.93
-40.04, 4.15,0.93
-40.04, 4.15,0.93
-40.04, 4.15,0.93
-40.04, 4.15,0.93
-40.12, 6.25,0.96
-40.12, 6.25,0.96
-40.12, 6.25,0.96
-40.12, 6.25,0.96
-40.12, 6.25,0.96
-40.12, 6.25,0.96
-40.18, 7.96,1.0
-40.18, 7.96,1.0
-40.18, 7.96,1.0
-40.18, 7.96,1.0
-40.18, 7.96,1.0
-40.18, 7.96,1.0
-40.22, 9.35,1.03
-40.22, 9.35,1.03
-40.22, 9.35,1.03
-40.22, 9.35,1.03
-40.22, 9.35,1.03
-40.22, 9.35,1.03
-40.25, 10.48,1.07
-40.25, 10.48,1.07
-40.25, 10.48,1.07
-40.25, 10.48,1.07
-40.25, 10.48,1.07
-40.25, 10.48,1.07
-40.26, 11.42,1.11
-40.26, 11.42,1.11
-40.26, 11.42,1.11
-40.26, 11.42,1.11
-40.26, 11.42,1.11
-40.26, 11.42,1.11
-40.27, 12.22,1.14
-40.27, 12.22,1.14
-40.27, 12.22,1.14
-40.27, 12.22,1.14
-40.27, 12.22,1.14
-40.27, 12.22,1.14
-40.27, 12.96,1.18
-40.27, 12.96,1.18
-40.27, 12.96,1.18
-40.27, 12.96,1.18
-40.27, 12.96,1.18
-40.27, 12.96,1.18
-40.25, 13.68,1.22
-40.25, 13.68,1.22
-40.25, 13.68,1.22
-40.25, 13.68,1.22
-40.25, 13.68,1.22
-40.25, 13.68,1.22
-40.21, 14.39,1.26
-40.21, 14.39,1.26
-40.21, 14.39,1.26
-40.21, 14.39,1.26
-40.21, 14.39,1.26
-40.21, 14.39,1.26
-40.14, 15.08,1.29
-40.14, 15.08,1.29
-40.14, 15.08,1.29
-40.14, 15.08,1.29
-40.14, 15.08,1.29
-40.14, 15.08,1.29
-40.05, 15.76,1.33
-40.05, 15.76,1.33
-40.05, 15.76,1.33
-40.05, 15.76,1.33
-40.05, 15.76,1.33
-40.05, 15.76,1.33
-39.95, 16.41,1.37
-39.95, 16.41,1.37
-39.95, 16.41,1.37
-39.95, 16.41,1.37
-39.95, 16.41,1.37
-39.95, 16.41,1.37
-39.85, 17.03,1.41
-39.85, 17.03,1.41
-39.85, 17.03,1.41
-39.85, 17.03,1.41
-39.85, 17.03,1.41
-39.85, 17.03,1.41
-39.74, 17.61,1.45
-39.74, 17.61,1.45
-39.74, 17.61,1.45
